Fabricante;Producto;Tipo Licencia;Licencia Metrica;Precio;Moneda
Microsoft;SQL Server Standard Core ALng Sub 2L;Perpétua;Core-Based;6319,9500;BRL
Microsoft;SQL Server Standard Core ALng Sub 2L;Suscripción;Core-Based;925,8000;USD
Microsoft; SQL Server Enterprise Core ALng Sub 2L;Suscripción;Core-Based;3550,0800;USD
Microsoft; SQL Server Enterprise Core ALng Sub 2L;Suscripción;Core-Based;3596,2800;USD
Microsoft;Biztalk Svr Ent ALng Sub 2 Lic Core Lic;Suscripción;Servidores;432,6000;USD
Microsoft;M365 E3 Unified Sub Per User;Suscripción;Named User;380,1600;USD
Microsoft;M365 E3 Unified Sub Per User;Suscripción;Named User;2311,0100;BRL
Microsoft;M365 E3 Unified Sub Per User;Suscripción;Named User;385,2000;USD
Microsoft;M365 F1 Sub Per User;Suscripción;Named User;11,6400;USD
Microsoft;M365 F1 Sub Per User;Suscripción;Named User;11,6400;USD
Microsoft;M365 F1 Sub Per User;Suscripción;Named User;11,5200;USD
Microsoft; SQL Server Enterprise Core ALng Sub 2L;Suscripción ;Core-Based;332,0000;USD
Microsoft; SQL Server Enterprise Core ALng Sub 2L;Suscripción;Core-Based;295,8400;USD
Microsoft; SQL Server Enterprise Core ALng Sub 2L;Suscripción;Core-Based;24233,7900;BRL
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;19,0800;USD
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;19,0800;USD
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;18,8400;USD
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;18,8400;USD
Microsoft;M365 F1 Sub Per User;Suscripción;Named User;75,3700;BRL
Microsoft;M365 F1 Sub Per User;Suscripción;Named User;11,5200;USD
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;320,8800;USD
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;320,8800;USD
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;316,8000;USD
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;316,8000;USD
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;43,9100;BRL
Microsoft;Azure Active Directory Premium P2 SU AADP P1;Suscripción;Named User;18,8400;USD
Microsoft;Power Automate Sub Per User;Suscripción;usuario;158,4000;USD
Microsoft;Power Automate Sub Per User;Suscripción;usuario;158,4000;USD
Microsoft;Power Apps Portal Login T1 Sub Add-;Suscripción;Servidores;2112,0000;USD
Microsoft;CDS Database Capacity Sub Add-on;Suscripción;Servidores;422,4000;USD
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;2071,5900;BRL
Microsoft;Teams Rooms Pro Sub Per Device;Suscripción;Named User;316,8000;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;692,7900;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;659,8000;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;593,8200;USD
Microsoft;Chatsession frVrtlAgnt Shared All Lng Subs VL MVL LmtdTimeOff Addon 1K sessions;Suscripción;Named User;1056,0000;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;395,8800;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;445,5900;USD
Microsoft;Intune USL;Suscripción;usuario;12,2400;USD
Microsoft;Intune USL;Suscripción;usuario;12,2400;USD
Microsoft;Intune USL;Suscripción;usuario;12,2400;USD
Microsoft; GitHub Advanced Security;Suscripción;usuario;2700,0000;BRL
Microsoft;Power Bi Premium P2;Suscripción;espacio de instalacion APP;89715,1200;USD
Microsoft;Intune USL;Suscripción;usuario;79,8000;BRL
Microsoft;Intune USL;Suscripción;usuario;12,2400;USD
Microsoft;Intune USL;Suscripción;usuario;12,3600;USD
Microsoft;Intune USL;Suscripción;usuario;12,3600;USD
Microsoft;Dyn365 Customer Service Digital Messaging Sub AO Per User;Suscripción;usuario;237,3600;USD
Microsoft;Dyn365E Team Members Sub Per User;Suscripción;usuario;25,4400;USD
Microsoft;Power Automate Unattended RPA AO Sub Per Bot;Suscripción;Named User;1584,0000;USD
Microsoft; D365 Sales Sub Per User;Suscripción;usuario;672,2400;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr;Suscripción;Servidores;233,6900;BRL
Microsoft; VSProSubMSDN ALNG LicSAPk MVL;Perpétua;usuario;322,2000;USD
Microsoft;Defender Cloud Apps Sub Per User;Suscripción;Named User;18,8400;USD
Microsoft;Power Virtual Agent;Suscripción;usuario;10560,0000;USD
Microsoft;Dyn365E Customer Services PerUsr;Suscripción;usuario;114,0000;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL;Perpétua;Servidores;25,8900;USD
Microsoft;Power Bi Premium P1;Perpétua;espacio de instalacion APP;48571,3800;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr;Suscripción;Servidores;37,3200;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SubsVL MVL PerUsr;Suscripción;Servidores;37,3200;USD
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic;Perpétua;usuario;21,2500;USD
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic;Perpétua;usuario;22,1200;USD
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic;Perpétua;usuario;22,1200;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL;Perpétua;Servidores;25,5600;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL;Perpétua;Servidores;25,5600;USD
Microsoft;WinRmtDsktpSrvcsCAL ALNG SA MVL DvcCAL;Perpétua;Servidores;25,8900;USD
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;120,9000;USD
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;701,2500;BRL
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;105,0900;USD
Microsoft;WinSvrDCCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;125,9400;USD
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic;Perpétua;usuario;21,2500;USD
Microsoft;WinSvrSTDCore ALNG SA MVL 2Lic CoreLic;Perpétua;usuario;145,0300;BRL
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;2845,1100;USD
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;2405,4600;USD
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;619,2300;USD
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;4227,0800;BRL
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;619,2300;USD
Microsoft;SQLSvrStdCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;627,2800;USD
Microsoft;Power BI Pro;Suscripción;Named User;85,2000;USD
Microsoft;Power BI Pro;Suscripción;usuario;92,3000;USD
Microsoft;Power BI Pro;Suscripción;Named User;136,6100;USD
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;2374,5900;USD
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;16209,2700;BRL
Microsoft;SQLSvrEntCore ALNG SA MVL 2Lic CoreLic;Perpétua;Core-Based;2374,5900;USD
Microsoft;Power BI Pro;Suscripción;Named User;556,9000;BRL
Microsoft;Power BI Pro;Suscripción;Named User;85,2000;USD
Microsoft;Power BI Pro;Suscripción;Named User;86,2800;USD
Microsoft;Power BI Pro;Suscripción;Named User;85,2000;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,3200;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,3200;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;14,9800;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,6800;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;262,3900;BRL
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,3200;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,6800;USD
Microsoft;O365E1 ShrdSvr ALNG SubsVL MVL PerUsr;Suscripción;Named User;25,3200;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;52,6300;BRL
Microsoft;ExchgSvrStd ALNG SA MVL;Perpétua;Servidores;144,6000;USD
Microsoft;ExchgSvrStd ALNG SA MVL;Perpétua;Servidores;987,2000;BRL
Microsoft;ExchgSvrStd ALNG SA MVL;Suscripción;Servidores;144,6000;USD
Microsoft;ExchgSvrStd ALNG SA MVL;Perpétua;Servidores;146,4800;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,1600;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,0400;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,0400;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,0400;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;3,0100;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,1600;USD
Microsoft;EOA Exchange Online Sub Per User;Suscripción;Named User;5,0400;USD
Microsoft;CoreCALBridgeO365FromSA ALNG SubsVL MVL PerUsr;Suscripción;Named User;14,1600;USD
